Data,Temperatura (°C),Vendas de Sorvete
2024-01-01,35.8,67
2024-01-02,34.7,82
2024-01-03,36.7,34
2024-01-04,35.0,14
2024-01-05,33.6,52
2024-01-06,27.9,83
2024-01-07,37.3,96
2024-01-08,24.7,89
2024-01-09,23.3,85
2024-01-10,38.1,13
2024-01-11,26.1,77
2024-01-12,39.6,20
2024-01-13,25.8,23
2024-01-14,26.8,26
2024-01-15,27.7,100
2024-01-16,21.8,54
2024-01-17,39.2,73
2024-01-18,31.3,43
2024-01-19,38.4,14
2024-01-20,20.3,89
2024-01-21,23.1,88
2024-01-22,23.3,63
2024-01-23,26.6,50
2024-01-24,25.3,51
2024-01-25,26.4,25
2024-01-26,34.9,28
2024-01-27,36.1,41
2024-01-28,28.0,26
2024-01-29,38.4,57
2024-01-30,21.1,73
2024-01-31,37.5,47
2024-02-01,34.4,57
2024-02-02,38.3,22
2024-02-03,35.6,67
2024-02-04,29.3,54
2024-02-05,20.6,82
2024-02-06,33.0,77
2024-02-07,24.2,75
2024-02-08,23.0,52
2024-02-09,38.6,94
2024-02-10,20.9,64
2024-02-11,31.7,66
2024-02-12,25.2,77
2024-02-13,36.7,52
2024-02-14,20.3,64
2024-02-15,22.5,94
2024-02-16,31.6,85
2024-02-17,20.4,58
2024-02-18,38.7,87
2024-02-19,23.7,23
2024-02-20,39.1,35
2024-02-21,29.6,83
2024-02-22,30.4,17
2024-02-23,28.4,18
2024-02-24,32.9,68
2024-02-25,36.6,22
2024-02-26,34.7,78
2024-02-27,25.9,91
2024-02-28,22.0,41
2024-02-29,27.5,41
2024-03-01,35.8,86
2024-03-02,29.9,90
2024-03-03,36.5,98
2024-03-04,34.7,72
2024-03-05,27.4,19
2024-03-06,21.6,21
2024-03-07,37.2,19
2024-03-08,39.9,85
2024-03-09,32.8,49
2024-03-10,32.3,39
2024-03-11,37.8,65
2024-03-12,36.1,29
2024-03-13,34.0,95
2024-03-14,27.8,76
2024-03-15,29.0,60
2024-03-16,27.6,60
2024-03-17,25.2,28
2024-03-18,20.1,63
2024-03-19,20.5,54
2024-03-20,34.1,89
2024-03-21,27.5,16
2024-03-22,20.4,61
2024-03-23,31.8,15
2024-03-24,26.0,59
2024-03-25,39.3,94
2024-03-26,35.9,72
2024-03-27,32.7,29
2024-03-28,32.6,15
2024-03-29,34.7,55
2024-03-30,37.2,58
2024-03-31,36.9,69
2024-04-01,29.1,78
2024-04-02,40.0,64
2024-04-03,39.2,65
2024-04-04,29.3,38
2024-04-05,31.3,77
2024-04-06,36.8,10
2024-04-07,21.0,82
2024-04-08,22.0,20
2024-04-09,23.1,69
